timestamp,average_gas,average_light,average_loudness,average_temperature,average_humidity,average_object,average_ambient,average_distance,ocupada
2026-01-19 00:00:00,268.05,49.7,2.0,30.0,80.0,29.226000000000035,31.453000000000017,7.366517494464743,0
2026-01-19 00:10:00,267.95,49.85,2.0,30.0,80.0,29.181111111111143,31.511111111111152,7.370833692879512,0
2026-01-19 00:30:00,268.2,50.3,1.95,30.0,80.0,29.189000000000025,31.443000000000016,7.359734896955818,0
2026-01-19 00:40:00,268.3,49.95,1.8,30.0,80.0,29.22600000000002,31.46000000000002,7.352541232931203,0
2026-01-19 00:50:00,268.45,50.15,2.0,30.0,80.0,29.211052631578976,31.47210526315792,7.366311961206897,0
2026-01-19 01:00:00,269.45,49.85,1.95,30.0,80.0,29.18000000000003,31.44800000000001,7.3638455621127425,0
2026-01-19 01:10:00,269.35,50.05,1.85,30.0,80.0,29.211052631578973,31.445789473684226,7.36343449559705,0
2026-01-19 01:20:00,269.3,49.85,1.9,30.0,80.0,29.157000000000032,31.47700000000001,7.353157832704741,0
2026-01-19 01:30:00,269.55,49.9,2.0,30.0,80.0,29.21100000000002,31.45000000000002,7.358912763924434,0
2026-01-19 01:40:00,269.55,49.9,1.95,30.0,80.0,29.16263157894739,31.486842105263182,7.360968096502896,0
2026-01-19 01:50:00,269.6,49.8,2.0,30.0,80.0,29.147000000000023,31.46900000000002,7.363228962339204,0
2026-01-19 10:00:00,290.8,55.0,2.2,30.0,80.9,29.186842105263185,31.321578947368447,7.367339627496127,0
2026-01-19 10:10:00,292.25,56.4,1.95,30.0,81.0,29.136000000000017,31.35000000000002,7.360557029987204,0
2026-01-19 10:20:00,293.9,75.3,2.0,30.0,80.9090909090909,29.21100000000002,31.38100000000002,7.364462161886281,0
2026-01-19 10:30:00,312.35,61.15,2.0,30.0,80.58333333333333,29.16000000000002,31.37600000000002,7.3578850976352035,0
2026-01-19 10:40:00,344.55,64.4,1.95,30.0,80.07692307692308,29.171000000000028,31.399000000000022,7.342675636554587,0
2026-01-19 10:50:00,371.25,63.35,2.0,30.0,80.0,29.194000000000024,31.38200000000003,7.35809063089305,0
2026-01-19 11:00:00,383.75,73.4,2.0,30.0,80.0,29.174000000000028,31.41900000000002,7.368259118386492,0
2026-01-19 11:10:00,392.35,60.7,1.9,30.0,80.0,29.19200000000003,31.41300000000001,7.355418698541049,0
2026-01-19 11:20:00,396.55,87.0,1.95,30.0,80.0,29.206000000000028,31.410000000000025,7.372369783543416,0
2026-01-19 11:30:00,399.45,59.9,1.95,30.0,80.0,29.205000000000027,31.411000000000023,7.37741075713059,0
2026-01-19 11:40:00,399.7,66.25,2.15,30.0,79.92307692307692,29.182000000000023,31.42500000000002,7.3521301664155105,0
2026-01-19 11:50:00,398.1,126.65,2.0,30.0,80.0,29.28647058823532,31.550000000000026,7.362612362565665,0
2026-01-19 12:00:00,395.2,65.25,2.0,30.0,80.0,29.20111111111114,31.49222222222225,7.390359352374899,0
2026-01-19 12:10:00,391.75,65.15,1.8,30.0,79.9090909090909,29.212105263157923,31.50157894736845,7.33548197252997,0
2026-01-19 12:20:00,388.35,58.0,1.9,30.0,79.84615384615384,29.254705882352965,31.512352941176506,7.362817895823512,0
2026-01-19 12:30:00,385.65,63.35,2.0,30.0,79.7,29.141111111111137,31.54888888888891,7.356857431345973,0
2026-01-19 12:40:00,383.05,66.15,2.0,30.0,79.8,29.20333333333336,31.53444444444447,7.35809063089305,0
2026-01-19 12:50:00,381.95,65.05,2.0,30.0,79.63636363636364,29.23000000000003,31.52529411764709,7.360968096502896,0
2026-01-19 13:00:00,381.6,68.55,1.95,30.0,79.63636363636364,29.26444444444447,31.57333333333337,7.36343449559705,0
2026-01-19 13:10:00,382.45,65.45,2.0,30.0,79.5,29.2377777777778,31.545555555555573,7.365078761659819,0
2026-01-19 13:20:00,384.75,70.0,2.0,30.0,79.07692307692308,29.242222222222253,31.582222222222256,7.387276353507207,0
2026-01-19 13:30:00,387.1,54.15,1.9,30.0,79.22222222222223,29.24764705882356,31.590000000000035,7.375355424552128,0
2026-01-19 13:40:00,387.05,55.55,2.05,30.0,79.36363636363636,29.20444444444447,31.60222222222225,7.530089515090638,0
2026-01-19 13:50:00,386.6,64.4,1.95,30.0,79.0,29.269000000000016,31.693000000000048,7.356857431345973,0
2026-01-19 14:00:00,386.05,59.25,1.9,30.0,79.0,29.275000000000027,31.73600000000004,7.57487413022133,0
2026-01-19 14:10:00,385.0,54.85,1.95,30.0,78.91666666666667,29.281111111111137,31.83000000000003,7.355007632025357,0
2026-01-19 14:20:00,383.3,53.15,1.9,30.0,79.0,29.32894736842107,31.657368421052663,7.513473773824757,0
2026-01-19 14:30:00,381.7,56.3,2.0,30.0,79.0,29.2977777777778,31.54888888888892,7.397141949883823,0
2026-01-19 14:40:00,377.25,57.55,1.95,30.0,79.0,29.267777777777805,31.58888888888892,7.362406829307819,0
2026-01-19 14:50:00,374.9,54.95,2.0,30.0,79.0,29.23153846153849,31.60076923076925,7.363023429081358,0
2026-01-19 15:00:00,372.95,58.35,2.0,30.0,79.0,29.21500000000003,31.618333333333368,7.36179022953428,0
2026-01-19 15:10:00,370.7,61.15,1.95,30.0,79.0,29.286470588235325,31.55470588235297,7.381932488803206,0
2026-01-19 15:20:00,366.9,63.65,1.95,30.0,79.0,29.283846153846177,31.522307692307724,7.347402901485049,0
2026-01-19 15:30:00,365.05,65.95,1.95,30.0,79.33333333333333,29.200588235294152,31.572352941176508,7.360351496729358,0
2026-01-19 15:40:00,362.7,92.6,2.0,30.0,79.33333333333333,29.242222222222253,31.602222222222245,7.362612362565665,0
2026-01-19 15:50:00,360.1,135.15,2.05,30.0,79.91666666666667,29.232222222222248,31.57000000000004,7.359529363697972,0
2026-01-19 16:00:00,357.5,82.45,2.0,30.0,79.88888888888889,29.19736842105267,31.58368421052636,7.363023429081358,0
2026-01-19 16:10:00,355.55,136.95,2.0,30.0,80.0,29.300000000000026,31.597777777777804,7.357679564377357,0
2026-01-19 16:20:00,351.4,143.0,2.0,30.0,80.0,29.2777777777778,31.55888888888892,7.355829765056741,0
2026-01-19 16:30:00,346.65,101.75,2.05,30.0,80.27272727272727,29.276000000000025,31.79200000000002,7.360968096502896,0
2026-01-19 16:40:00,342.0,112.9,2.0,30.0,80.0,29.345789473684235,31.62368421052636,7.355418698541049,0
2026-01-19 16:50:00,339.85,70.15,2.0,30.0,80.0,29.35100000000003,31.752000000000045,7.367339627496127,0
2026-01-19 17:00:00,335.9,103.35,2.0,30.0,80.0,29.344444444444463,31.61777777777781,7.375149891294282,0
2026-01-19 17:10:00,331.65,97.15,2.0,30.0,80.07142857142857,29.318000000000023,31.674000000000028,7.360968096502896,0
2026-01-19 17:20:00,328.2,103.8,2.0,30.0,80.0,29.29947368421056,31.64578947368425,7.362201296049973,0
2026-01-19 17:30:00,324.7,109.4,2.0,30.0,80.0,29.31888888888891,31.607777777777805,7.360145963471512,0
2026-01-19 17:40:00,320.45,106.6,2.0,30.0,80.0,29.313529411764733,31.5888235294118,7.358912763924434,0
2026-01-19 17:50:00,317.35,99.7,2.0,30.0,80.3076923076923,29.382631578947382,31.633157894736872,7.353157832704741,0
2026-01-19 18:00:00,315.05,85.35,2.0,30.0,80.3,29.264444444444468,31.59666666666669,7.365013856420499,0
2026-01-19 18:10:00,312.4,72.25,2.0,30.0,80.6,29.341111111111143,31.59888888888892,7.3656953614333585,0
2026-01-19 18:20:00,310.15,75.75,2.0,30.0,80.6,29.30888888888892,31.611111111111143,7.362201296049973,0
2026-01-19 18:30:00,307.6,75.5,2.0,30.0,80.61538461538461,29.224000000000025,31.74400000000004,7.375355424552128,0
2026-01-19 18:40:00,305.7,65.65,1.95,30.0,80.7,29.297000000000025,31.72500000000004,7.362817895823512,0
2026-01-19 18:50:00,303.2,75.45,2.0,30.0,80.9090909090909,29.221111111111146,31.621111111111144,7.352952299446895,0
2026-01-19 19:00:00,301.5,62.2,1.95,30.0,80.8,29.26058823529416,31.54882352941179,7.367339627496127,0
2026-01-19 19:10:00,300.0,64.75,1.9,30.0,80.7,29.303333333333363,31.61444444444448,7.374944358036436,0
2026-01-19 19:20:00,298.0,61.9,2.0,30.0,81.0,29.26222222222225,31.58222222222226,7.36343449559705,0
2026-01-19 19:30:00,296.1,65.75,1.95,30.0,80.9090909090909,29.223333333333365,31.60222222222225,7.360557029987204,0
2026-01-19 19:40:00,294.2,62.2,1.75,30.0,80.9,29.25352941176473,31.52411764705886,7.360903191263576,0
2026-01-19 19:50:00,292.95,59.55,2.0,30.0,81.0,29.232352941176508,31.591176470588263,7.3578850976352035,0
2026-01-19 20:00:00,291.25,57.05,1.9,30.0,81.0,29.25100000000004,31.59200000000003,7.363228962339204,0
2026-01-19 20:10:00,290.2,53.6,1.9,30.0,81.0,29.227647058823564,31.511176470588275,7.364051095370589,0
2026-01-19 20:20:00,289.05,52.95,2.0,30.0,80.9090909090909,29.233333333333363,31.526666666666696,7.362612362565665,0
2026-01-19 20:30:00,288.2,51.7,1.95,30.0,80.77777777777777,29.23307692307695,31.60230769230772,7.366311961206897,0
2026-01-19 20:40:00,288.1,50.85,2.0,30.0,80.72727272727273,29.219230769230805,31.525384615384645,7.361335892859041,0
2026-01-19 20:50:00,286.5,49.85,1.95,30.0,80.64285714285714,29.200000000000028,31.5377777777778,7.380288222740436,0
2026-01-19 21:00:00,285.95,49.5,1.9,30.0,80.64285714285714,29.14571428571432,31.51285714285718,7.360686840465843,0
2026-01-19 21:10:00,284.6,50.3,2.0,30.0,80.23076923076923,29.172222222222253,31.49888888888892,7.396114283594592,0
2026-01-19 21:20:00,283.35,49.75,1.75,30.0,80.1,29.121111111111148,31.49555555555558,7.362406829307819,0
2026-01-19 21:30:00,282.15,49.9,1.95,30.0,80.1,29.191000000000024,31.43300000000001,7.361584696276434,0
2026-01-19 21:40:00,281.0,49.85,2.0,30.0,80.0,29.121578947368448,31.45421052631581,7.349252700805664,0
2026-01-19 21:50:00,280.4,49.4,2.0,30.0,80.3,29.07736842105266,31.47315789473686,7.367134094238281,0
2026-01-19 22:00:00,279.35,49.65,1.9,30.0,80.3076923076923,29.09400000000003,31.441000000000017,7.367134094238281,0
2026-01-19 22:10:00,278.3,49.95,1.95,30.0,80.27272727272727,29.10400000000002,31.44000000000001,7.364873228401973,0
2026-01-19 22:20:00,277.05,49.9,1.95,30.0,80.1,29.08578947368423,31.51315789473688,7.36775069401182,0
2026-01-19 22:30:00,276.25,50.2,2.0,30.0,80.07142857142857,29.076666666666696,31.47333333333336,7.366744662802362,0
2026-01-19 22:40:00,275.95,50.25,1.75,30.0,80.0,29.036000000000023,31.429000000000013,7.34843056777428,0
2026-01-19 22:50:00,275.0,49.85,1.95,30.0,80.07142857142857,29.05900000000003,31.40100000000003,7.364364804027301,0
2026-01-19 23:00:00,274.55,50.25,1.95,30.0,80.53846153846153,29.049000000000024,31.42500000000002,7.358912763924434,0
2026-01-19 23:10:00,274.1,49.9,1.9,30.0,80.33333333333333,29.056000000000022,31.383000000000028,7.362817895823512,0
2026-01-19 23:20:00,273.0,50.1,1.95,30.0,80.64285714285714,29.022000000000027,31.412000000000027,7.406120507989734,0
2026-01-19 23:30:00,272.1,50.05,1.95,30.0,80.85714285714286,29.001000000000023,31.374000000000024,7.369394960074589,0
2026-01-19 23:40:00,271.3,49.7,1.85,30.0,81.0,29.02000000000002,31.36700000000002,7.365078761659819,0
2026-01-19 23:50:00,271.05,50.0,2.0,30.0,81.0,28.982000000000024,31.379000000000023,7.36882403435835,0
2026-01-20 14:10:00,312.65,87.85,2.0,30.0,84.0,28.756666666666707,31.008888888888904,7.36179022953428,0
2026-01-20 14:20:00,308.55,81.3,2.0,30.0,83.07692307692308,28.843000000000032,31.09300000000003,7.364051095370589,0
2026-01-20 14:30:00,306.8,73.3,2.0,30.0,83.08333333333333,28.90300000000004,31.13200000000004,7.365078761659819,0
2026-01-20 14:40:00,306.5,97.0,2.0,30.0,83.07692307692308,28.924000000000028,31.09500000000003,7.359734896955818,0
2026-01-20 14:50:00,306.6,91.4,2.0,30.0,83.18181818181819,28.94111111111114,31.1677777777778,7.361379163018588,0
2026-01-20 15:00:00,306.2,85.7,1.95,30.0,83.0,28.905000000000022,31.08500000000004,7.3696004933324355,0
2026-01-20 15:10:00,305.75,89.6,2.0,30.0,83.0,28.880000000000035,31.214444444444485,7.352541232931203,0
2026-01-20 15:20:00,304.6,125.55,2.05,30.0,83.0,28.951176470588265,31.19352941176475,7.360968096502896,0
2026-01-20 15:30:00,302.05,134.25,2.1,30.0,83.0,28.83800000000004,31.14900000000004,7.358912763924434,0
2026-01-20 15:40:00,300.75,132.5,2.0,30.0,83.0,28.842941176470624,31.259411764705927,7.359529363697973,0
2026-01-20 15:50:00,298.4,132.45,2.05,30.0,83.0,28.83300000000004,31.15100000000003,7.357474031119511,0
2026-01-20 16:00:00,296.25,127.3,2.15,30.0,83.0,28.86800000000004,31.343000000000032,7.383165688350282,0
2026-01-20 16:10:00,294.55,133.0,2.0,30.0,83.0,28.85000000000004,31.200000000000045,7.363114777195956,0
2026-01-20 16:20:00,292.0,123.45,2.0,30.0,83.41666666666667,28.811052631578978,31.170000000000027,7.364051095370589,0
2026-01-20 16:30:00,290.1,126.8,2.05,30.0,83.41666666666667,28.77777777777781,31.2555555555556,7.379466089709052,0
2026-01-20 16:40:00,287.3,129.15,2.0,30.0,83.75,28.817777777777813,31.25111111111116,7.363640028854896,0
2026-01-20 16:50:00,285.55,124.55,2.05,30.0,84.0,28.748823529411805,31.18882352941181,7.360557029987204,0
2026-01-20 17:00:00,283.75,131.05,2.0,30.0,84.0,28.811000000000035,31.104000000000024,7.374327758262897,0
2026-01-20 17:10:00,283.05,84.85,2.05,30.0,83.9090909090909,28.84578947368424,31.302631578947388,7.394264484273976,0
2026-01-20 17:20:00,282.2,70.55,2.0,30.0,83.92857142857143,28.856315789473715,31.2805263157895,7.355278070522523,0
2026-01-20 17:30:00,281.05,108.2,2.0,30.0,84.0,28.787777777777816,31.27111111111115,7.3599404302136655,0
2026-01-20 17:40:00,280.2,100.55,2.0,30.0,84.0,28.846666666666703,31.268888888888927,7.364051095370589,0
2026-01-20 17:50:00,279.2,88.35,1.95,30.0,84.0,28.78700000000004,31.342000000000027,7.359605086477179,0
2026-01-20 18:00:00,277.95,83.0,2.0,30.0,84.0,28.843000000000032,31.444000000000013,7.36343449559705,0
2026-01-20 18:10:00,277.0,63.5,2.0,30.0,84.0,28.818571428571467,31.505714285714323,7.36343449559705,0
2026-01-20 18:20:00,276.4,67.9,1.9,30.0,84.0,28.89533333333337,31.51000000000004,7.355624231798895,0
2026-01-20 18:30:00,274.75,66.35,1.95,30.0,84.0,29.014210526315825,31.46263157894739,7.3539799657361264,0
2026-01-20 18:40:00,274.1,69.15,1.95,30.0,84.0,28.93100000000004,31.41200000000002,7.355007632025357,0
2026-01-20 18:50:00,273.55,62.65,1.95,30.0,84.0,29.010000000000023,31.550000000000026,7.347197368227202,0
2026-01-20 19:00:00,273.05,59.65,2.0,30.0,84.0,29.026666666666696,31.516666666666698,7.372889025457974,0
2026-01-20 19:10:00,272.4,60.25,1.95,30.0,84.0,29.073333333333363,31.54333333333336,7.363228962339204,0
2026-01-20 19:20:00,271.95,59.6,1.95,30.0,84.0,29.084117647058843,31.55823529411767,7.360145963471512,0
2026-01-20 19:30:00,272.05,58.25,2.0,30.0,84.0,29.095555555555578,31.487777777777804,7.395086617305361,0
2026-01-20 19:40:00,270.7,55.1,1.95,30.0,84.0,28.955000000000023,31.38700000000003,7.371039226137358,0
2026-01-20 19:50:00,270.1,53.65,2.0,30.0,84.0,29.04900000000002,31.411000000000023,7.35809063089305,0
2026-01-20 20:00:00,269.45,53.25,1.9,30.0,84.0,29.07631578947372,31.46368421052634,7.358707230666588,0
2026-01-20 20:10:00,267.75,53.1,1.9,30.0,84.0,29.076000000000025,31.39300000000004,7.389331686085668,0
2026-01-20 20:20:00,267.3,52.65,1.9,30.0,83.93333333333334,29.056000000000022,31.44400000000002,7.46799683614132,0
2026-01-20 20:30:00,266.5,52.1,1.85,30.0,83.8,28.96333333333336,31.53444444444447,7.362817895823512,0
2026-01-20 20:40:00,266.5,51.0,1.9,30.0,83.75,28.961000000000027,31.40100000000003,7.347608434742895,0
2026-01-20 20:50:00,266.2,50.45,1.9,30.0,84.0,28.96900000000003,31.398000000000028,7.354412667331592,0
2026-01-20 21:00:00,266.05,49.95,2.0,30.0,84.0,29.03555555555558,31.475555555555573,7.358707230666588,0
2026-01-20 21:10:00,265.5,49.9,1.9,30.0,83.9,28.938888888888915,31.5155555555556,7.369189426816743,0
2026-01-20 21:20:00,265.55,50.0,1.85,30.0,84.0,29.04666666666669,31.475555555555573,7.365078761659819,0
2026-01-20 21:30:00,265.6,50.0,1.9,30.0,84.0,28.987777777777804,31.4777777777778,7.365900894691205,0
2026-01-20 21:40:00,265.1,49.7,1.85,30.0,84.0,28.998000000000022,31.39500000000003,7.365489828175511,0
2026-01-20 21:50:00,265.3,50.3,1.85,30.0,84.0,28.981000000000023,31.40100000000003,7.354596565509665,0
2026-01-20 22:00:00,265.65,49.8,1.9,30.0,84.0,29.070000000000025,31.368000000000016,7.400224948751515,0
